title,rating,netflix_year,family_friendly,age,titleType,startYear,endYear,runtimeMinutes,genres,IMDb Rating,numVotes
Chewing Gum,TV-MA,2017,0,adult,tvSeries,2015,2017,23,Comedy,7.7,11608.0
Sofia the First,TV-Y,2015,1,kid,tvSeries,2013,2018,24,Adventure,9.0,29.0
Chef's Table,TV-MA,2017,0,adult,tvSeries,2015,2024,50,"Biography,Documentary",8.5,17711.0
VeggieTales in the House,TV-Y,2016,1,kid,tvSeries,2014,2016,,"Adventure,Animation,Comedy",4.2,418.0
Jane The Virgin,TV-14,2016,1,teen,tvSeries,2014,2019,60,"Comedy,Drama",7.8,64630.0
The Mr. Peabody and Sherman Show,TV-Y7,2017,1,kid,tvSeries,2015,2017,23,"Adventure,Animation,Comedy",5.8,684.0
BoJack Horseman,TV-MA,2016,0,adult,tvSeries,2014,2020,25,"Animation,Comedy,Drama",8.8,234771.0
Brickleberry,TV-MA,2014,0,adult,tvSeries,2012,2015,22,"Animation,Comedy",7.3,19394.0
Halt and Catch Fire,TV-14,2016,1,teen,tvSeries,2014,2017,60,Drama,8.4,38439.0
All Hail King Julien,TV-Y7-FV,2016,1,kid,tvSeries,2014,2017,23,"Action,Adventure,Animation",7.2,2930.0
Dinotrux,TV-Y7-FV,2017,1,kid,tvSeries,2015,2017,23,"Action,Adventure,Animation",6.7,700.0
Talking Tom and Friends,TV-G,2016,1,kid,tvSeries,2014,2021,11,"Adventure,Animation,Comedy",6.3,962.0
Lovesick,TV-MA,2016,0,adult,tvSeries,2014,2018,24,Comedy,8.0,24079.0
Skins,TV-MA,2013,0,adult,tvSeries,2011,2011,42,"Comedy,Drama",3.8,5977.0
The Fosters,TV-14,2016,1,teen,tvSeries,2013,2018,60,"Comedy,Crime,Drama",7.9,32650.0
The Blacklist,TV-14,2016,1,teen,tvSeries,2013,2023,43,"Crime,Drama,Mystery",7.9,301498.0
Pound Puppies,TV-Y,2013,1,kid,tvSeries,2010,2013,,"Adventure,Animation,Comedy",6.2,703.0
Velvet,TV-14,2016,1,teen,tvSeries,2013,2016,43,"Drama,Romance",8.0,7642.0
The Adventures of Figaro Pho,TV-Y7,2015,1,kid,tvSeries,2012,2012,,"Animation,Fantasy,Sci-Fi",7.5,232.0
Transformers Prime,TV-Y7-FV,2013,1,kid,tvSeries,2010,2013,30,"Action,Adventure,Animation",8.1,10641.0
The Fall,TV-MA,2016,0,adult,tvSeries,2013,0,,Drama,7.6,10.0
The Magic School Bus,TV-Y,1997,1,kid,tvSeries,1994,1997,30,"Adventure,Animation,Comedy",7.8,12734.0
Last Man Standing,TV-PG,2015,1,teen,tvSeries,2012,0,,Comedy,,
Lab Rats,TV-Y7,2016,1,kid,tvMiniSeries,2013,2013,2,Comedy,,
Goosebumps,TV-Y7,1998,1,kid,tvSeries,1995,1998,22,"Adventure,Comedy,Drama",7.6,16942.0
The Killing,TV-14,2014,1,teen,tvSeries,2011,2014,45,"Crime,Drama,Mystery",8.3,134409.0
The Doctor Blake Mysteries,TV-MA,2016,0,adult,tvSeries,2013,2018,57,"Crime,Drama,Mystery",8.0,5879.0
Rectify,TV-14,2016,1,teen,tvSeries,2013,2016,60,Drama,8.3,29143.0
The Batman,TV-Y7,2007,1,kid,tvSeries,2004,2008,22,"Action,Adventure,Animation",7.4,15230.0
House of Cards,TV-MA,2016,0,adult,tvSeries,2013,2018,50,"Drama,Thriller",8.6,560348.0
Mia and Me,TV-Y,2015,1,kid,tvSeries,2012,2023,20,"Adventure,Animation,Family",6.8,1371.0
Raising Hope,TV-14,2013,1,teen,tvSeries,2010,2014,22,"Comedy,Family",8.0,43516.0
H2O: Just Add Water,TV-PG,2009,1,teen,tvSeries,2006,2010,23,"Adventure,Comedy,Drama",7.3,21706.0
Pandora,TV-MA,2016,0,adult,tvSeries,2013,0,,Crime,5.4,10.0
Hart of Dixie,TV-PG,2014,1,teen,tvSeries,2011,2015,60,"Comedy,Drama,Romance",7.7,59970.0
The Originals,TV-14,2016,1,teen,tvSeries,2013,2018,45,"Drama,Fantasy,Horror",8.2,161231.0
Lottie Dottie Chicken,TV-Y,2009,1,kid,tvSeries,2006,2014,,"Animation,Family,Music",7.6,14.0
Scandal,TV-14,2016,1,teen,tvSeries,2013,2013,64,"Drama,Romance,Thriller",7.5,40.0
Orange Is the New Black,TV-MA,2016,0,adult,tvSeries,2013,2019,60,"Comedy,Crime,Drama",8.0,336837.0
Arrow,TV-14,2015,1,teen,tvSeries,2012,2020,42,"Action,Adventure,Crime",7.5,461411.0
